,index,IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Timezone,Timestamp,Timezone_Diff
0,20,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694,America/Chicago,1420092000.0,0.0
1,85,DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667,America/Denver,1420095600.0,-1.0
2,86,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,America/Chicago,1420092000.0,0.0
3,151,IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,America/Chicago,1420092000.0,0.0
4,174,LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,America/Los_Angeles,1420099200.0,-2.0
5,176,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,America/Los_Angeles,1420099200.0,-2.0
6,228,ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,America/Chicago,1420092000.0,0.0
7,239,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806000000001,America/Phoenix,1420095600.0,-1.0
8,277,SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931000000001,America/Los_Angeles,1420099200.0,-2.0
9,278,SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37483999999999,America/Los_Angeles,1420099200.0,-2.0
